id,name,birthdate,deathdate
6261,Penelope Wilton,6/3/46,
6262,Peng Lin,10/9/57,
6263,Penn Jillette,3/5/55,
6264,Penny Balfour,,
6265,Penny Marshall,10/15/43,
6266,Per Christian Ellefsen,2/14/54,
6267,Perdita Weeks,12/25/85,
6268,Perrey Reeves,11/30/70,
6269,Perry Andelin Blake,,
6270,Perry King,11/29/49,
6271,Perry Lang,8/19/69,
6272,Persis Khambatta,10/2/48,8/18/98
6273,Petchtai Wongkamlao,,
6274,Pete Docter,10/9/68,
6275,Pete Jones,,
6276,Pete Travis,,
6277,Peter Agnefjall,,
6278,Peter Appel,10/19/59,
6279,Peter Atencio,3/15/83,
6280,Peter Berg,3/11/64,
6281,Peter Billingsley,4/16/71,
6282,Peter Boyle,10/18/35,12/12/06
6283,Peter Breck,3/13/29,2/6/12
6284,Peter Breitmayer,5/29/65,
6285,Peter Callan,7/28/41,
6286,Peter Capaldi,4/14/58,
6287,Peter Care,,
6288,Peter Cattaneo,7/1/64,
6289,Peter Chelsom,4/20/56,
6290,Peter Cousens,11/2/55,
6291,Peter Coyote,10/10/41,
6292,Peter Cushing,5/26/13,8/11/94
6293,Peter Dante,12/16/68,
6294,Peter DeLuise,11/6/66,
6295,Peter Dinklage,6/11/69,
6296,Peter Faiman,,
6297,Péter Fancsikai,,
6298,Peter Farrelly,12/17/56,
6299,Peter Feeney,,
6300,Peter Finch,9/28/16,1/14/77
6301,Peter Firth,9/22/19,10/17/99
6302,Peter Flinth,11/7/64,
6303,Peter Fonda,2/23/40,
6304,Peter Gallagher,8/19/55,
6305,Peter Gerety,5/17/40,
6306,Peter Graves,3/18/26,3/14/10
6307,Peter Greene,10/8/65,
6308,Peter H. Hunt,12/19/38,
6309,Peter Hastings,,
6310,Peter Hedges,7/6/62,
6311,Peter Hermann,8/15/67,
6312,Peter Hewitt,,
6313,Peter Ho-Sun Chan,11/28/62,
6314,Peter Howitt,5/5/57,
6315,Peter Hyams,7/26/43,
6316,Peter Jackson,10/31/61,
6317,Peter Jacobson,3/24/65,
6318,Peter Jason,7/22/44,
6319,Peter Kassovitz,11/17/38,
6320,Peter Kosminsky,4/21/56,
6321,Peter Krause,8/12/65,
6322,Peter Kwong,,
6323,Peter Landesman,,
6324,Peter Lepeniotis,,
6325,Peter Lord,11/4/53,
6326,Peter M. Cohen,,
6327,Peter MacDonald,,
6328,Peter Mark Richman,4/16/27,
6329,Peter Marquardt,7/1/64,7/19/14
6330,Peter McNamara,,
6331,Peter McNicholl,4/10/54,
6332,Peter McQuinn,,
6333,Peter Medak,12/23/37,
6334,Peter Mensah,,
6335,Peter Onorati,5/13/54,
6336,Peter Ostrum,11/1/57,
6337,Peter Polycarpou,,
6338,Peter R. Hunt,3/11/25,8/14/02
6339,Peter Ramsey,,
6340,Peter Riegert,4/11/47,
6341,Peter Sallis,2/1/21,
6342,Peter Scolari,9/12/55,
6343,Peter Segal,,
6344,Peter Serafinowicz,7/10/72,
6345,Peter Sohn,10/3/59,
6346,Peter Sollett,,
6347,Peter Spellos,,
6348,Peter Stebbings,2/28/71,
6349,Peter Stickles,10/8/76,
6350,Peter Ustinov,4/16/21,3/28/04
6351,Peter Vaughan,4/4/23,12/6/16
6352,Peter Webber,,
6353,Peter Weir,8/21/44,
6354,Peter Wingfield,9/5/62,
6355,Peter Yates,7/24/29,1/9/11
6356,Peter Youngblood Hills,1/28/78,
6357,Petter Næss,3/14/60,
6358,Peyman Moaadi,,
6359,Peyton Reed,7/3/64,
6360,Pfeifer Brown,,
6361,Phaldut Sharma,,
6362,Phil Alden Robinson,3/1/50,
6363,Phil Claydon,1/9/76,
6364,Phil Collins,1/30/51,
6365,Phil Davis,7/30/53,
6366,Phil Fish,,
6367,Phil Hartman,9/24/48,5/28/98
6368,Phil Joanou,11/20/61,
6369,Phil LaMarr,1/24/67,
6370,Phil Leeds,4/6/16,8/16/98
6371,Phil Lord,7/12/75,
6372,Phil Morrison,,
6373,Phil Silvers,5/11/11,11/1/85
6374,Phil Traill,6/6/73,
6375,Phil Vischer,6/16/66,
6376,Philip Baker Hall,9/10/31,
6377,Philip Friedman,,
6378,Philip G. Atwell,,
6379,Philip Glenister,2/10/63,
6380,Philip Kaufman,10/23/36,
6381,Philip Saville,10/28/30,12/22/16
6382,Philip Seymour Hoffman,7/23/67,2/2/14
6383,Philip Winchester,3/24/81,
6384,Philip Zlotorynski,2/25/75,
6385,Philippe Labro,8/27/36,
6386,Philippe Leroy,10/15/30,
6387,Philippe Nahon,12/24/38,
6388,Philippe Noiret,10/1/30,11/23/06
6389,Philippe Petit,,
6390,Phill Lewis,9/4/68,
6391,Phillip Noyce,4/29/50,
6392,Phoebe Cates,7/16/63,
6393,Phoebe Legere,,
6394,Phylicia Rashad,6/19/48,
6395,Phyllida Law,5/8/32,
6396,Phyllida Lloyd,6/17/57,
6397,Phyllis Diller,7/17/17,8/20/12
6398,Phyllis Smith,7/10/51,
6399,Pierfrancesco Favino,8/24/69,
6400,Piero Maggiò,6/5/64,
6401,Pierre Coffin,,
6402,Pierre Dulat,8/22/59,
6403,Pierre Morel,5/12/64,
6404,Pierre Perrier,,
6405,Pierre Prieur,,
6406,Pink,9/8/79,
6407,Pip Torrens,6/2/60,
6408,Piper Laurie,1/22/32,
6409,Piper Mackenzie Harris,1/26/00,
6410,Pitof,7/4/57,
6411,Pixie Davies,,
6412,Piyush Dinker Pandya,4/12/68,
6413,Polly Noonan,,
6414,Polly Walker,5/19/66,
6415,Pollyanna McIntosh,3/15/79,
6416,Poppy Montgomery,6/15/72,
6417,Portia de Rossi,1/31/73,
6418,Portia Doubleday,6/22/88,
6419,Pou-Soi Cheang,,
6420,Powers Boothe,6/1/48,
6421,Prabhas,10/23/79,
6422,Prabhudheva,,
6423,Prachya Pinkaew,9/2/62,
6424,Prateik,,
6425,Preity Zinta,1/31/75,
6426,Preston A. Whitmore II,6/26/62,
6427,Priscilla Presley,5/24/45,
6428,Pruitt Taylor Vince,7/5/60,
6429,Purab Kohli,,
6430,Purva Bedi,3/12/74,
6431,Puti Sri Candra Dewi,,
6432,Q'orianka Kilcher,2/11/90,
6433,Qasim Basir,,
6434,Qi Shu,4/16/76,
6435,Qiu Yuen,,
6436,Quentin Dupieux,,
6437,Quentin Tarantino,3/27/63,
6438,Quincy Jones,3/14/33,
6439,Quinton Aaron,8/15/84,
6440,Quvenzhané Wallis,8/28/03,
6441,Quynn Ton,,
6442,R. Balki,,
6443,R. Brandon Johnson,,
6444,R. Marcos Taylor,,
6445,R.J. Cutler,,
6446,Rab Affleck,1/30/53,
6447,Rachael Carpani,8/24/80,
6448,Rachael Harris,1/12/68,
6449,Rachel Alig,,
6450,Rachel Ann Mullins,,
6451,Rachel Blakely,7/28/68,
6452,Rachel Blanchard,3/19/76,
6453,Rachel Brosnahan,12/15/90,
6454,Rachel Crow,,
6455,Rachel Dratch,2/22/66,
6456,Rachel Goldenberg,,
6457,Rachel Griffiths,12/18/68,
6458,Rachel Hendrix,,
6459,Rachel Korine,4/4/86,
6460,Rachel Nash,,
6461,Rachel Perkins,,
6462,Rachel Roberts,9/20/27,11/26/80
6463,Rachel Skarsten,4/23/85,
6464,Rachel Sterling,11/11/79,
6465,Rachel Talalay,8/16/58,
6466,Rachel Ticotin,11/1/58,
6467,Rachel True,11/15/66,
6468,Radha Mitchell,11/12/73,
6469,Radivoje Bukvic,11/20/79,
6470,Rae Dawn Chong,2/28/61,
6471,Rae'Ven Kelly,6/28/85,
6472,Rafa Lara,,
6473,Rafe Spall,3/10/83,
6474,Rai Alexandra,,
6475,Rain,,
6476,Rainn Wilson,1/20/66,
6477,Raja Gosnell,12/9/58,
6478,Raja Menon,,
6479,Rajkumar Hirani,11/20/62,
6480,Rakesh Roshan,9/6/49,
6481,Rakeysh Omprakash Mehra,7/7/63,
6482,Rakie Ayola,,
6483,Ralitsa Paskaleva,,
6484,Ralph Bellamy,6/17/04,11/29/91
6485,Ralph Brown,6/18/57,
6486,Ralph Fiennes,12/22/62,
6487,Ralph Ineson,12/15/69,
6488,Ralph Nelson,8/12/16,12/21/87
6489,Ralph Richardson,12/19/02,10/10/83
6490,Ralph Ziman,,
6491,Ramaa Mosley,10/29/78,
6492,Rami Malek,5/12/81,
6493,Ramon Rodriguez,,
6494,Ranbir Kapoor,9/28/82,
6495,Rand Ravich,,
6496,Randal Kleiser,7/20/46,
6497,Randall 'Tex' Cobb,5/7/50,
6498,Randall Duk Kim,9/24/43,
6499,Randall Miller,,
6500,Randall Park,,
6501,Randall Rubin,,
6502,Randall Wallace,7/28/49,
6503,Randeep Hooda,,
6504,Randy Couture,6/22/63,
6505,Randy Jay Burrell,8/16/86,
6506,Randy Jones,,
6507,Randy Moore,4/10/84,
6508,Randy Quaid,10/1/50,
6509,Randy Wayne,8/7/81,
6510,Rania Attieh,,
6511,Ranin Karim,,
6512,Ransford Doherty,,
6513,Raoul Bova,8/14/71,
6514,Raoul Max Trujillo,5/8/55,
6515,Raphael Barker,,
6516,Raphael Sbarge,2/12/64,
6517,Rapulana Seiphemo,11/4/67,
6518,Raquel Alessi,3/7/83,
6519,Raquel Elizabeth Ames,,
6520,Raquel Nave,,
6521,Raquel Welch,9/5/40,
6522,Rasheed Naz,9/9/48,
6523,Raul Julia,3/9/40,10/24/94
6524,Raven Goodwin,6/24/92,
6525,Raven-Symoné,12/10/85,
6526,Rawiri Paratene,,
6527,Rawson Marshall Thurber,2/9/75,
6528,Ray Charles,9/23/30,6/10/04
6529,Ray Griggs,,
6530,Ray Lawrence,,
6531,Ray McKinnon,11/15/57,
6532,Ray Milland,1/3/05,3/10/86
6533,Ray Nicholas,,
6534,Ray Romano,12/21/57,
6535,Ray Walston,12/2/14,1/1/01
6536,Ray Winstone,2/19/57,
6537,Raymond Burr,5/21/17,9/12/93
6538,Raymond Cruz,7/9/61,
6539,Raymond De Felitta,6/30/64,
6540,Raymond J. Barry,3/14/39,
6541,Raza Jaffrey,5/28/75,
6542,Razaaq Adoti,,
6543,Reba McEntire,3/28/55,
6544,Rebecca Black,6/21/97,
6545,Rebecca Budig,6/26/73,
6546,Rebecca Dayan,,
6547,Rebecca De Mornay,8/29/59,
6548,Rebecca Gayheart,8/12/71,
6549,Rebecca Mader,4/24/77,
6550,Rebecca Miller,9/15/62,
6551,Red Skelton,7/18/13,9/17/97
6552,Reda Kateb,7/22/77,
6553,Redd Foxx,12/9/22,10/11/91
6554,Reece Ritchie,7/23/86,
6555,Reece Thompson,11/22/88,
6556,Reed Cowan,7/24/72,
6557,Reef Ireland,,
6558,Reese Mishler,,
6559,Reeve Carney,4/18/83,
6560,Reg E. Cathey,8/18/58,
6561,Regardt van den Bergh,,
6562,Reggie Lee,,
6563,Regi Davis,,
6564,Regina Casé,,
6565,Regina Hall,12/12/70,
6566,Reginald Ballard,,
6567,Reginald Hudlin,12/15/61,
6568,Reginald Owen,1887-08-05,11/5/72
6569,Reginald VelJohnson,8/16/52,
6570,Reid Ewing,,
6571,Reiner Schwarz,,8/30/14
6572,Reinhard Klooss,,
6573,Rekha,10/10/54,
6574,Rekha Sharma,,
6575,Remo,7/27/43,
6576,Rene Auberjonois,6/1/40,
6577,René Féret,,
6578,Rene Rosado,,
6579,Rene Russo,2/17/54,
6580,Renée Adorée,,
6581,Renee Faia,,
6582,Renee Leblanc,,
6583,Renee Olstead,6/18/89,
6584,Renny Harlin,3/15/59,
6585,Reuben Langdon,7/19/75,
6586,Revathy,7/8/66,
6587,Rex Baker,1884-02-08,12/2/53
6588,Rex Harrison,3/5/08,6/2/90
6589,Rex Linn,11/13/56,
6590,Reza Sixo Safai,,
6591,Rhea Perlman,3/31/48,
6592,Rhonda Fleming,8/10/23,
6593,Rhys Coiro,3/12/79,
6594,Rhys Wakefield,11/20/88,
6595,Rian Bishop,5/15/76,
6596,Rian Johnson,12/17/73,
6597,Ric Roman Waugh,2/20/68,
6598,Ricardo Chavira,9/1/71,
6599,Ricardo Darín,,
6600,Ricardo Montalban,11/25/20,1/14/09
6601,Riccardo Scamarcio,11/13/79,
6602,Rich Ceraulo,3/27/77,
6603,Rich Christiano,10/2/56,
6604,Rich Cowan,,
6605,Rich Moore,5/10/63,
6606,Rich Pecci,5/1/73,
6607,Richard Anderson,,
6608,Richard Attenborough,8/29/23,8/24/14
6609,Richard Ayoade,6/12/77,
6610,Richard Basehart,8/31/14,9/17/84
6611,Richard Benjamin,5/22/38,
6612,Richard Beymer,2/20/38,
6613,Richard Boddington,,
6614,Richard Brake,2/21/49,3/17/16
6615,Richard Brancatisano,10/29/83,
6616,Richard Briers,1/14/34,2/17/13
6617,Richard Brooker,11/20/54,4/8/13
6618,Richard Brooks,5/18/12,3/11/92
6619,Richard Bull,6/26/24,2/3/14
6620,Richard Burgi,7/30/58,
6621,Richard Burton,11/10/25,8/5/84
6622,Richard Cabral,,
6623,Richard Cawthorne,12/3/76,
6624,Richard Cetrone,,
6625,Richard Coyle,2/27/72,
6626,Richard Crenna,11/30/26,1/17/03
6627,Richard Curtis,11/8/56,
6628,Richard Dawson,11/20/32,6/2/12
6629,Richard Donner,4/24/30,
6630,Richard Dutcher,,
6631,Richard Dysart,3/30/29,4/5/15
6632,Richard E. Grant,5/5/57,
6633,Richard Epcar,4/29/55,
6634,Richard Eyre,3/28/43,
6635,Richard Farnsworth,9/1/20,10/6/00
6636,Richard Fleischer,12/8/16,3/25/06
6637,Richard Gant,5/5/57,
6638,Richard Glatzer,1/28/52,3/10/15
6639,Richard Glover,,
6640,Richard Graham,,
6641,Richard Howland,,
6642,Richard J. Lewis,,
6643,Richard Jaeckel,10/10/26,6/14/97
6644,Richard Jewell,,
6645,Richard Johnson,,
6646,Richard Kelly,3/28/75,
6647,Richard Kwietniowski,3/17/57,
6648,Richard LaGravenese,10/30/59,
6649,Richard Lawson,11/20/32,6/2/12
6650,Richard Lester,1/19/32,
6651,Richard Libertini,5/21/33,1/7/16
6652,Richard Linklater,7/30/60,
6653,Richard Loncraine,10/20/46,
6654,Richard Lynch,2/12/40,6/19/12
6655,Richard Marquand,9/22/37,9/4/87
6656,Richard Masur,11/20/48,
6657,Richard Moll,1/13/43,
6658,Richard Montoya,,
6659,Richard Norton,6/12/28,
6660,Richard Portnow,,
6661,Richard Raymond,,
6662,Richard Rich,9/9/66,
6663,Richard Roundtree,7/9/42,
6664,Richard Roxburgh,1/23/62,
6665,Richard Sammel,8/29/23,8/24/14
6666,Richard Schenkman,3/6/58,
6667,Richard Schiff,5/27/55,
6668,Richard Shepard,,
6669,Richard Spore,3/23/48,
6670,Richard T. Jones,11/12/31,12/12/88
6671,Richard Thomas,6/13/51,
6672,Richard Tyson,2/13/61,
6673,Richard Wallace,2/12/48,
6674,Richard Williams,11/10/63,
6675,Richard Wilson,7/9/36,
6676,Rick Aviles,10/14/52,3/17/95
6677,Rick Bieber,,
6678,Rick de Oliveira,7/23/68,
6679,Rick Dial,3/9/55,5/28/11
6680,Rick Famuyiwa,6/18/73,
6681,Rick Fox,,
6682,Rick Friedberg,,
6683,Rick Gomez,6/1/72,
6684,Rick Gonzalez,6/30/79,
6685,Rick Hoffman,6/12/70,
6686,Rick Macy,10/18/53,
6687,Rick Rosenthal,6/15/49,
6688,Rick Rossovich,8/28/57,
6689,Rick Worthy,3/12/67,
6690,Rick Yune,8/22/71,
6691,Ricki Stern,,
6692,Ricky Catter,,
6693,Ricky Gervais,6/25/61,
6694,Ricky Jay,,
6695,Ricky Martin,12/24/71,
6696,Ricky Schroder,4/13/70,
6697,Ridley Scott,11/30/37,
6698,Rie Miyazawa,4/6/73,
6699,Rie Rasmussen,2/14/76,
6700,Rijk de Gooyer,12/17/25,11/2/11
6701,Riki Lindhome,3/5/79,
6702,Rila Fukushima,,
6703,Riley Smith,4/12/78,
6704,Riley Thomas Stewart,,
6705,Ringo Lam,,
6706,Ringo Starr,7/7/40,
6707,Rip Torn,2/6/31,
6708,Risa Bramon Garcia,,
6709,Rita Davies,,
6710,Rita Hayworth,10/17/18,5/14/87
6711,Rita Maiden,,
6712,Rita Merson,,
6713,Rita Moreno,12/11/31,
6714,Rita Wilson,10/26/56,
6715,Ritchie Coster,7/1/67,
6716,Ritchie Montgomery,,
6717,Riteish Deshmukh,12/17/78,
6718,Ritesh Batra,6/12/79,
6719,Riz Ahmed,12/1/82,
6720,Rizwan Manji,10/17/74,
6721,Rob Bowman,5/15/60,
6722,Rob Brown,,
6723,Rob Brydon,5/3/65,
6724,Rob Campbell,,
6725,Rob Cohen,7/15/41,
6726,Rob Hawk,,
6727,Rob Hedden,,
6728,Rob Huebel,6/4/69,
6729,Rob Jarvis,,
6730,Rob Letterman,,
6731,Rob Marshall,10/17/60,
6732,Rob McElhenney,4/14/77,
6733,Rob McKittrick,,
6734,Rob Minkoff,,
6735,Rob Moran,,
6736,Rob Morrow,9/21/62,
6737,Rob Paulsen,3/11/56,
6738,Rob Pritts,,
6739,Rob Reiner,3/6/47,
6740,Rob Riggle,4/21/70,
6741,Rob Schmidt,9/25/65,
6742,Rob Zombie,5/6/62,
6743,Robb Wells,,
6744,Robbie Barnes,8/6/42,
6745,Robbie Kay,9/13/95,
6746,Robby Henson,1/21/56,
6747,Robert Adetuyi,,
6748,Robert Altman,2/20/25,11/20/06
6749,Robert Amaya,,
6750,Robert B. Weide,6/20/59,
6751,Robert Baker,,
6752,Robert Beltran,11/19/53,
6753,Robert Ben Garant,9/14/70,
6754,Robert Bennett,,
6755,Robert Blake,9/18/33,
6756,Robert Butler,11/17/27,
6757,Robert C. Cooper,10/14/68,
6758,Robert Capron,7/9/98,
6759,Robert Cary,12/11/66,
6760,Robert Clohessy,6/10/57,
6761,Robert Costanzo,,
6762,Robert D. Webb,9/29/72,
6763,Robert Davi,6/26/51,
6764,Robert De Niro,8/17/43,
6765,Robert Downey Jr.,4/4/65,
6766,Robert Duvall,1/5/31,
6767,Robert Eggers,,
6768,Robert Fontaine,1/19/08,5/13/65
6769,Robert Forster,7/13/41,
6770,Robert Foxworth,11/1/41,
6771,Robert Greenwald,8/28/45,
6772,Robert Hall,,
6773,Robert Harmon,,
6774,Robert Heath,,
6775,Robert Hobbs,,
6776,Robert Iscove,7/4/47,
6777,Robert J. Wilke,5/18/14,3/28/89
6778,Robert John Burke,9/12/60,
6779,Robert Kennedy Jr.,1/17/54,
6780,Robert Kenner,,
6781,Robert Lee King,,
6782,Robert Longstreet,,
6783,Robert Lopez,2/23/75,
6784,Robert Lorenz,,
6785,Robert Luketic,11/1/73,
6786,Robert M. Young,2/22/07,7/21/98
6787,Robert Maillet,10/26/69,
6788,Robert Marcarelli,,
6789,Robert McKee,,
6790,Robert Miano,9/25/42,
6791,Robert Mitchum,8/6/17,7/1/97
6792,Robert Moresco,,
6793,Robert Mulligan,8/23/25,12/20/08
6794,Robert Neary,3/8/65,
6795,Robert Noble,,
6796,Robert Pattinson,5/13/86,
6797,Robert Peters,7/20/61,
6798,Robert Picardo,10/27/53,
6799,Robert Pine,7/10/41,
6800,Robert Pralgo,6/4/66,
6801,Robert Prosky,12/13/30,12/8/08
6802,Robert Redford,8/18/36,
6803,Robert Ri'chard,1/7/83,
6804,Robert Rodriguez,6/20/68,
6805,Robert Rossen,3/16/08,2/18/66
6806,Robert Rusler,9/20/65,
6807,Robert Sarkies,,
6808,Robert Schwentke,,
6809,Robert Shaw,1837-10-10,1863-07-18
6810,Robert Stadlober,8/3/82,
6811,Robert Stevenson,3/31/05,4/30/86
6812,Robert Stromberg,,
6813,Robert Taylor,8/5/11,6/8/69
6814,Robert Towne,11/23/34,
6815,Robert Townsend,2/6/57,
6816,Robert Turano,,
6817,Robert Urich,12/19/46,4/16/02
6818,Robert Vaughn,11/22/32,11/11/16
6819,Robert Wagner,2/10/30,
6820,Robert Wahlberg,6/5/71,
6821,Robert Wise,9/10/14,9/14/05
6822,Robert Zemeckis,5/14/52,
6823,Roberta Valderrama,,
6824,Roberts Blossom,3/25/24,7/8/11
6825,Robin Atkin Downes,9/6/76,
6826,Robin Bartlett,4/22/51,
6827,Robin Budd,,
6828,Robin Givens,11/27/64,
6829,Robin Lord Taylor,6/4/78,
6830,Robin McLeavy,6/19/81,
6831,Robin Sachs,2/5/51,2/1/13
6832,Robin Shou,7/17/60,
6833,Robin Weigert,7/7/69,
6834,Robin Williams,7/21/51,8/11/14
6835,Robin Wright,4/8/66,
6836,Robinne Lee,7/16/74,
6837,Robinson Devor,,
6838,Robyn Lively,2/7/72,
6839,Rock Hudson,11/17/25,10/2/85
6840,Rod Lurie,5/15/62,
6841,Rod Steiger,4/14/25,7/9/02
6842,Roddy McDowall,9/17/28,10/3/98
6843,Rodger Bumpass,11/20/51,
6844,Rodman Flender,6/9/62,
6845,Rodney Dangerfield,11/22/21,10/5/04
6846,Rodney Eastman,7/20/67,
6847,Rodrigo Cortés,,
6848,Rodrigo De la Serna,4/18/76,
6849,Rodrigo García,8/24/59,
6850,Roger Allam,10/26/53,
6851,Roger Allers,,
6852,Roger Ashton-Griffiths,1/19/57,
6853,Roger Avary,8/23/65,
6854,Roger Bart,9/29/62,
6855,Roger Christian,2/25/44,
6856,Roger Cross,9/16/73,
6857,Roger Donaldson,11/15/45,
6858,Roger Guenveur Smith,7/27/55,
6859,Roger Jackson,7/13/58,
6860,Roger Kumble,5/28/66,
6861,Roger Lloyd Pack,2/8/44,1/15/14
6862,Roger Michell,6/5/56,
6863,Roger Nygard,3/28/62,
6864,Roger Rees,5/5/44,7/10/15
6865,Roger Spottiswoode,1/5/45,
6866,Roger Vadim,1/26/28,2/11/00
6867,Roger Willie,,
6868,Rohan Sippy,,
6869,Rohit Jagessar,,
6870,Rohit Jugraj,,
6871,Roland Emmerich,11/10/55,
6872,Roland Joffé,11/17/45,
6873,Roland Suso Richter,1/7/61,
6874,Rolando Molina,8/13/71,
6875,Rollo Weeks,3/20/87,
6876,Roma Downey,5/6/60,
6877,Roma Maffia,5/31/58,
6878,Romain Duris,5/28/74,
6879,Roman Polanski,8/18/33,
6880,Romane Bohringer,8/14/73,
6881,Romany Malco,11/18/68,
6882,Romeo Miller,8/19/89,
6883,Romesh Sharma,7/27/47,
6884,Romi Aboulafia,1/21/84,
6885,Romola Garai,8/6/82,
6886,Ron Clements,4/25/53,
6887,Ron Eldard,2/20/65,
6888,Ron Fricke,,
6889,Ron Gelner,,
6890,Ron Howard,3/1/54,
6891,Ron Lester,3/8/59,
6892,Ron Maxwell,,
6893,Ron Moody,1/8/24,6/11/15
6894,Ron Palillo,4/2/49,8/14/12
6895,Ron Rifkin,10/31/39,
6896,Ron Roggé,10/16/68,
6897,Ron Shelton,,
6898,Ron Silver,7/2/46,3/15/09
6899,Ron Underwood,11/6/53,
6900,Ronald Colman,1891-02-09,5/19/58
6901,Ronald Neame,4/23/11,6/16/10
6902,Ronald Pickup,6/7/40,
6903,Ronald Reagan,4/19/37,
6904,Ronan Chapalain,,
6905,Ronee Collins,,
6906,Ronit Elkabetz,11/27/64,4/19/16
6907,Ronnie Gene Blevins,6/20/77,
6908,Ronnie Lazaro,11/14/57,
6909,Ronny Cox,,
6910,Ronny Dayag,,
6911,Ronny Yu,,
6912,Rorke Denver,,
6913,Rory Cochrane,2/28/72,
6914,Rory Culkin,7/21/89,
6915,Rory Kinnear,2/17/78,
6916,Rosa Salazar,,
6917,Rosalind Ayres,12/7/46,
6918,Rosalind Chao,9/23/57,
6919,Rosalind Harris,,
6920,Rosanna Arquette,8/10/59,
6921,Rosanna DeSoto,9/2/50,
6922,Rosario Dawson,5/9/79,
6923,Roschdy Zem,9/28/65,
6924,Roscoe Lee Browne,5/2/22,4/11/07
6925,Rose Marie,8/15/23,
6926,Roseanne Barr,11/3/52,
6927,Rosemarie DeWitt,10/26/71,
6928,Roshan Seth,4/2/42,
6929,Rosie O'Donnell,3/21/62,
6930,Rosie Perez,9/6/64,
6931,Rosie Traynor,,
6932,Ross Elliott,6/18/17,8/12/99
6933,Rowan Isaacson,,
6934,Rowan Joffe,,
6935,Rowdy Herrington,,
6936,Roxane Duran,,
6937,Roxanne McKee,8/10/80,
6938,Roy Billing,,
6939,Roy Dupuis,4/21/63,
6940,Roy Scheider,11/10/32,2/10/08
6941,Royal Dano,11/16/22,5/15/94
6942,Ruairi Robinson,2/15/78,
6943,Ruba Nadda,12/6/72,
6944,Ruben Fleischer,10/31/74,
6945,Ruby Dee,10/27/22,6/11/14
6946,Ruby Harris,,
6947,Ruby Jerins,4/10/98,
6948,Ruby Lin,1/27/76,
6949,Rüdiger Vogler,5/14/42,
6950,Rudolf Klein-Rogge,1885-11-24,4/30/55
6951,Rudy Youngblood,9/21/82,
6952,Rufus Graham,,
6953,Rufus Sewell,10/29/67,
6954,Ruggero Deodato,5/7/39,
6955,Rumer Willis,8/16/88,
6956,Rumi Hiiragi,8/1/87,
6957,Rumi Missabu,,
6958,Rupert Evans,3/9/76,
6959,Rupert Everett,5/29/59,
6960,Rupert Graves,6/30/63,
6961,Rupert Grint,8/24/88,
6962,Rupert Sanders,3/16/71,
6963,Rupert Wainwright,11/30/61,
6964,Rupert Wyatt,10/26/72,
6965,Rus Blackwell,3/23/63,
6966,Russ Meyer,3/21/22,9/18/04
6967,Russ Tamblyn,12/30/34,
6968,Russell Crowe,4/7/64,
6969,Russell Friedenberg,2/10/68,
6970,Russell Hodgkinson,8/14/59,
6971,Russell Holt,,
6972,Russell Mulcahy,6/23/53,
6973,Russell Peters,9/29/70,
6974,Russell Tovey,11/14/81,
6975,Russell Wong,3/1/63,
6976,Russi Taylor,5/4/44,
6977,Rusty Cundieff,12/13/60,
6978,Ruth Negga,1/7/82,
6979,Ruth Sheen,,
6980,Ruth Wilson,1/13/82,
6981,Ryan Bollman,8/9/72,
6982,Ryan Carnes,11/21/82,
6983,Ryan Cartwright,3/14/81,
6984,Ryan Coogler,5/23/86,
6985,Ryan Corr,1/15/89,
6986,Ryan Donowho,9/20/80,
6987,Ryan Fleck,9/20/76,
6988,Ryan Gosling,11/12/80,
6989,Ryan Guzman,9/21/87,
6990,Ryan Kennedy,12/6/82,
6991,Ryan Kruger,,
6992,Ryan Little,3/28/71,
6993,Ryan McDonald,,
6994,Ryan Murphy,11/30/65,
6995,Ryan O'Neal,4/20/41,
6996,Ryan Reynolds,10/23/76,
6997,Ryan Robbins,11/26/72,
6998,Ryan Smith,,
6999,Ryôko Hirosue,7/18/80,
7000,Ryu Kohata,,
7001,Ryûhei Kitamura,5/30/69,
7002,Ryûnosuke Kamiki,5/19/93,
7003,RZA,7/5/69,
7004,S. Epatha Merkerson,11/28/52,
7005,S. William Hinzman,10/24/36,2/5/12
7006,S.R. Bindler,2/14/70,
7007,S.S. Rajamouli,,
7008,Saad Siddiqui,4/24/83,
7009,Sabrina Carmichael,7/11/85,
7010,Sabrina Ferilli,6/28/64,
7011,Sabrina Revelle,,
7012,Sacha Bennett,5/11/71,
7013,Sachiko Ishida,9/12/77,
7014,Sadyk Sher-Niyaz,3/10/69,
7015,Saeed Jaffrey,1/8/29,11/15/15
7016,Saffron Burrows,10/22/72,
7017,Sahajak Boonthanakit,,
7018,Sai Varadan,,
7019,Saïd Taghmaoui,7/19/73,
7020,Saif Ali Khan,8/16/70,
7021,Sajid Khan,8/16/70,
7022,Sakae Kimura,9/6/55,
7023,Sakina Jaffrey,2/14/62,
7024,Sal Lopez,11/8/54,
7025,Sal Mineo,1/10/39,2/12/76
7026,Salim Akil,6/22/64,
7027,Salli Richardson-Whitfield,11/23/67,
7028,Sally Hawkins,4/27/76,
7029,Sally Kirkland,10/31/41,
7030,Sally Potter,9/19/49,
7031,Salma Hayek,9/2/66,
7032,Salvador Carrasco,6/16/67,
7033,Salvator Xuereb,11/17/65,
7034,Salvatore Santone,7/7/99,
7035,Sam Adams,,
